,USunpl.response,phase,pID,Age,Group
22,6.0,2,LELE22,24,1
34,5.0,3,LELE22,24,1
2,8.0,0,LI1101,15,1
22,8.0,2,LI1101,15,1
34,9.0,3,LI1101,15,1
2,9.0,0,LOAN34,12,0
22,9.0,2,LOAN34,12,0
34,8.0,3,LOAN34,12,0
2,6.0,0,LUFL09,16,0
22,8.0,2,LUFL09,16,0
34,6.0,3,LUFL09,16,0
2,8.0,0,MAHE12,23,0
22,6.0,2,MAHE12,23,0
34,6.0,3,MAHE12,23,0
2,7.0,0,MAKA08,51,0
22,7.0,2,MAKA08,51,0
34,2.0,3,MAKA08,51,0
22,0.0,2,MAME13,25,1
34,0.0,3,MAME13,25,1
2,9.0,0,MAME17,50,0
22,2.0,2,MAME17,50,0
34,3.0,3,MAME17,50,0
2,8.0,0,MAOP15,40,0
22,10.0,2,MAOP15,40,0
34,10.0,3,MAOP15,40,0
2,10.0,0,MARH07,17,0
22,7.0,2,MARH07,17,0
34,7.0,3,MARH07,17,0
2,10.0,0,MASA22,13,1
22,10.0,2,MASA22,13,1
34,6.0,3,MASA22,13,1
2,7.0,0,MAST18,32,0
22,8.0,2,MAST18,32,0
34,8.0,3,MAST18,32,0
2,9.0,0,MAVI12,45,0
22,8.0,2,MAVI12,45,0
34,7.0,3,MAVI12,45,0
2,9.0,0,MIHO11,17,1
22,10.0,2,MIHO11,17,1
34,10.0,3,MIHO11,17,1
2,10.0,0,MIOL05,16,0
22,10.0,2,MIOL05,16,0
34,10.0,3,MIOL05,16,0
2,8.0,0,MISO09,18,0
22,8.0,2,MISO09,18,0
34,7.0,3,MISO09,18,0
22,10.0,2,NASE26,36,0
34,10.0,3,NASE26,36,0
34,9.0,3,NHLE01,34,1
2,10.0,0,NITH23,17,1
22,10.0,2,NITH23,17,1
34,7.0,3,NITH23,17,1
2,8.0,0,PAST12,18,0
22,9.0,2,PAST12,18,0
34,7.0,3,PAST12,18,0
2,7.0,0,PEMO01,27,0
22,5.0,2,PEMO01,27,0
34,5.0,3,PEMO01,27,0
22,7.0,2,RESA12,21,1
34,7.0,3,RESA12,21,1
22,7.0,2,RIMO14,51,1
34,7.0,3,RIMO14,51,1
2,4.0,0,SAMO16,27,1
22,5.0,2,SAMO16,27,1
34,6.0,3,SAMO16,27,1
2,8.0,0,SISA12,21,0
22,9.0,2,SISA12,21,0
34,9.0,3,SISA12,21,0
2,8.0,0,SISU01,17,1
22,8.0,2,SISU01,17,1
34,8.0,3,SISU01,17,1
2,6.0,0,SOKA01,17,1
22,6.0,2,SOKA01,17,1
34,5.0,3,SOKA01,17,1
22,9.0,2,TAHA12,16,0
34,8.0,3,TAHA12,16,0
2,9.0,0,TETE04,23,0
22,7.0,2,TETE04,23,0
